id,prognosis
922,Chikungunya Dengue Yellow_Fever
923,Malaria Chikungunya West_Nile_fever
924,Yellow_Fever Tungiasis Japanese_encephalitis
925,Rift_Valley_fever West_Nile_fever Plague
926,Rift_Valley_fever Chikungunya Dengue
927,Yellow_Fever West_Nile_fever Zika
928,Japanese_encephalitis Yellow_Fever West_Nile_fever
929,Yellow_Fever Chikungunya Dengue
930,Lyme_disease West_Nile_fever Japanese_encephalitis
931,Tungiasis Chikungunya Dengue
932,Lyme_disease Yellow_Fever West_Nile_fever
933,Rift_Valley_fever West_Nile_fever Dengue
934,Lyme_disease Malaria Plague
935,Chikungunya Yellow_Fever Dengue
936,West_Nile_fever Lyme_disease Plague
937,Malaria West_Nile_fever Plague
938,Tungiasis Dengue Rift_Valley_fever
939,Plague West_Nile_fever Lyme_disease
940,Tungiasis Dengue Japanese_encephalitis
941,Lyme_disease Plague Malaria
942,Chikungunya Rift_Valley_fever Tungiasis
943,Yellow_Fever Zika Malaria
944,Yellow_Fever West_Nile_fever Japanese_encephalitis
945,Chikungunya Dengue West_Nile_fever
946,West_Nile_fever Malaria Rift_Valley_fever
947,Japanese_encephalitis Lyme_disease West_Nile_fever
948,Chikungunya Malaria West_Nile_fever
949,Tungiasis Dengue Rift_Valley_fever
950,Yellow_Fever West_Nile_fever Zika
951,Lyme_disease Japanese_encephalitis West_Nile_fever
952,Tungiasis Dengue West_Nile_fever
953,West_Nile_fever Japanese_encephalitis Lyme_disease
954,Dengue Rift_Valley_fever Chikungunya
955,Dengue Tungiasis West_Nile_fever
956,Plague Zika Lyme_disease
957,West_Nile_fever Rift_Valley_fever Malaria
958,Chikungunya Dengue Malaria
959,Tungiasis Dengue Japanese_encephalitis
960,Rift_Valley_fever West_Nile_fever Japanese_encephalitis
961,Dengue Chikungunya Rift_Valley_fever
962,Japanese_encephalitis Yellow_Fever Plague
963,West_Nile_fever Lyme_disease Japanese_encephalitis
964,Rift_Valley_fever West_Nile_fever Chikungunya
965,Rift_Valley_fever Lyme_disease Japanese_encephalitis
966,Lyme_disease Plague Japanese_encephalitis
967,Lyme_disease West_Nile_fever Malaria
968,Lyme_disease West_Nile_fever Plague
969,Yellow_Fever West_Nile_fever Japanese_encephalitis
970,Tungiasis Dengue West_Nile_fever
971,Tungiasis Rift_Valley_fever Japanese_encephalitis
972,Yellow_Fever West_Nile_fever Tungiasis
973,Dengue West_Nile_fever Japanese_encephalitis
974,Lyme_disease West_Nile_fever Malaria
975,Lyme_disease West_Nile_fever Malaria
976,West_Nile_fever Lyme_disease Japanese_encephalitis
977,Dengue Yellow_Fever Zika
978,Rift_Valley_fever Japanese_encephalitis Zika
979,Lyme_disease Plague Yellow_Fever
980,West_Nile_fever Yellow_Fever Plague
981,Yellow_Fever Japanese_encephalitis Zika
982,Yellow_Fever Zika Malaria
983,Tungiasis Rift_Valley_fever Dengue
984,Lyme_disease Malaria West_Nile_fever
985,West_Nile_fever Malaria Lyme_disease
986,Dengue Chikungunya Malaria
987,Rift_Valley_fever Japanese_encephalitis Dengue
988,Chikungunya Yellow_Fever Malaria
989,Rift_Valley_fever Japanese_encephalitis Tungiasis
990,West_Nile_fever Yellow_Fever Dengue
991,Rift_Valley_fever West_Nile_fever Japanese_encephalitis
992,West_Nile_fever Zika Rift_Valley_fever
993,Yellow_Fever Zika Malaria
994,Malaria Yellow_Fever Plague
995,Dengue Japanese_encephalitis Rift_Valley_fever
996,Chikungunya Rift_Valley_fever Dengue
997,Tungiasis Dengue Japanese_encephalitis
998,Yellow_Fever West_Nile_fever Japanese_encephalitis
999,West_Nile_fever Yellow_Fever Plague
1000,Rift_Valley_fever Japanese_encephalitis West_Nile_fever
1001,West_Nile_fever Lyme_disease Japanese_encephalitis
1002,Zika Yellow_Fever Malaria
1003,Yellow_Fever Malaria Japanese_encephalitis
1004,West_Nile_fever Yellow_Fever Japanese_encephalitis
1005,Yellow_Fever West_Nile_fever Malaria
1006,Lyme_disease West_Nile_fever Malaria
1007,Lyme_disease West_Nile_fever Japanese_encephalitis
1008,Rift_Valley_fever Japanese_encephalitis West_Nile_fever
1009,Zika Japanese_encephalitis West_Nile_fever
